Friday,08,May,2026,13:37:34:00009-VCID:3F8DF6FBA67DB563F9-806A,VCDS Version: Release 25.3.0 (x64),Data version: 20250301 DS365.0
8W1 927 155 B,ADVMB,0CL 20TFSINAR H06 0003,
,,G006,F0,G018,F0,G027,F0,G294,F0,G295,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,

Marker,TIME,Loc. IDE00024-ENG98502,TIME,Loc. IDE00075,TIME,Loc. IDE00090-ENG100894,TIME,Loc. IDE09373-ENG98502,TIME,Loc. IDE09396,,,,,,,,,,,,,,,
,STAMP,ATF temperature-Data,STAMP,Vehicle speed,STAMP,selected gear-Ist Gang,STAMP,Oil pressure reservoir: pressure-Data,STAMP,Aux. hydraulic pump 1: actual RPM,,,,,,,,,,,,,,,
,, ∞C,, km/h,, ,, bar,, /min,,,,,,,,,,,,,,,
,0.59,67,0.80,0,1.01,1,0.13,26.5,0.36,628,,,,,,,,,,,,,,,
,1.69,67,1.90,0,2.12,1,1.25,26.4,1.48,616,,,,,,,,,,,,,,,
,2.79,67,3.02,0,3.26,1,2.35,26.4,2.57,633,,,,,,,,,,,,,,,
,3.93,67,4.15,0,4.37,1,3.50,26.3,3.73,610,,,,,,,,,,,,,,,
,5.03,67,5.25,0,5.49,1,4.59,26.2,4.81,620,,,,,,,,,,,,,,,
,6.13,67,6.35,0,6.57,1,5.69,26.2,5.91,615,,,,,,,,,,,,,,,
,7.24,67,7.46,0,7.67,1,6.79,26.1,7.01,624,,,,,,,,,,,,,,,
,8.32,67,8.54,0,8.78,1,7.89,26.1,8.10,626,,,,,,,,,,,,,,,
,9.52,67,9.76,0,9.99,1,9.02,26.0,9.27,617,,,,,,,,,,,,,,,
,10.64,67,10.86,0,11.08,1,10.20,25.9,10.42,619,,,,,,,,,,,,,,,
,11.74,67,11.97,0,12.18,1,11.30,25.9,11.51,629,,,,,,,,,,,,,,,
,12.84,67,13.06,0,13.28,1,12.40,25.8,12.62,626,,,,,,,,,,,,,,,
,13.98,67,14.18,0,14.40,1,13.52,25.7,13.76,613,,,,,,,,,,,,,,,
,15.06,67,15.28,0,15.52,1,14.62,25.7,14.84,612,,,,,,,,,,,,,,,
,16.25,67,16.46,0,16.69,1,15.77,25.6,16.02,608,,,,,,,,,,,,,,,
,17.34,67,17.56,0,17.78,1,16.91,25.5,17.12,630,,,,,,,,,,,,,,,
,18.43,67,18.65,0,18.87,1,18.01,25.5,18.21,626,,,,,,,,,,,,,,,
,19.55,67,19.79,0,20.02,1,19.09,25.4,19.32,634,,,,,,,,,,,,,,,
,20.67,67,20.89,0,21.11,1,20.23,25.3,20.45,614,,,,,,,,,,,,,,,
,21.77,67,21.98,0,22.21,1,21.33,25.3,21.55,619,,,,,,,,,,,,,,,
,22.88,67,23.11,0,23.33,1,22.44,25.2,22.66,614,,,,,,,,,,,,,,,
,23.98,67,24.20,0,24.42,1,23.54,25.1,23.77,632,,,,,,,,,,,,,,,
,25.09,67,25.32,0,25.54,1,24.64,25.1,24.86,620,,,,,,,,,,,,,,,
,26.20,67,26.42,0,26.64,1,25.77,25.0,25.98,611,,,,,,,,,,,,,,,
,27.30,67,27.52,0,27.73,1,26.85,25.0,27.07,630,,,,,,,,,,,,,,,
,28.39,67,28.60,0,28.82,1,27.95,24.9,28.17,626,,,,,,,,,,,,,,,
,29.48,67,29.70,0,29.92,1,29.05,24.9,29.27,612,,,,,,,,,,,,,,,
,30.58,67,30.80,0,31.03,1,30.14,24.8,30.36,639,,,,,,,,,,,,,,,
,31.68,67,31.90,0,32.12,1,31.25,24.8,31.46,619,,,,,,,,,,,,,,,
,32.80,67,33.02,0,33.23,1,32.34,24.7,32.56,629,,,,,,,,,,,,,,,
,33.89,67,34.11,0,34.33,1,33.45,24.7,33.67,617,,,,,,,,,,,,,,,
,34.98,67,35.20,0,35.42,1,34.54,24.6,34.77,634,,,,,,,,,,,,,,,
,36.08,67,36.30,0,36.52,1,35.64,24.5,35.86,606,,,,,,,,,,,,,,,
,37.17,67,37.39,0,37.61,1,36.73,24.5,36.95,621,,,,,,,,,,,,,,,
,38.27,66,38.48,0,38.70,1,37.82,24.4,38.05,619,,,,,,,,,,,,,,,
,39.36,66,39.58,0,39.81,1,38.92,24.4,39.14,617,,,,,,,,,,,,,,,
,40.48,66,40.70,0,40.92,1,40.04,24.3,40.27,622,,,,,,,,,,,,,,,
,41.57,66,41.79,0,42.02,1,41.14,24.3,41.36,614,,,,,,,,,,,,,,,
,42.67,66,42.89,0,43.11,1,42.23,24.2,42.45,610,,,,,,,,,,,,,,,
,43.78,66,43.99,0,44.21,1,43.33,24.1,43.55,611,,,,,,,,,,,,,,,
,44.87,66,45.09,0,45.31,1,44.43,24.1,44.65,607,,,,,,,,,,,,,,,
,45.98,66,46.20,0,46.43,1,45.55,24.0,45.77,614,,,,,,,,,,,,,,,
,47.10,66,47.32,0,47.57,1,46.66,24.0,46.88,614,,,,,,,,,,,,,,,
,48.25,66,48.47,0,48.69,1,47.81,23.9,48.04,619,,,,,,,,,,,,,,,
,49.36,66,49.57,0,49.81,1,48.91,23.9,49.13,614,,,,,,,,,,,,,,,
,50.47,66,50.68,0,50.91,1,50.04,23.8,50.25,631,,,,,,,,,,,,,,,
,51.57,66,51.81,0,52.04,1,51.13,23.7,51.35,626,,,,,,,,,,,,,,,
,52.68,66,52.90,0,53.12,1,52.24,23.7,52.46,622,,,,,,,,,,,,,,,
,53.82,66,54.05,0,54.26,1,53.34,23.6,53.57,617,,,,,,,,,,,,,,,
,54.91,66,55.12,0,55.34,1,54.48,23.6,54.70,609,,,,,,,,,,,,,,,
,56.01,66,56.23,0,56.45,1,55.58,23.5,55.81,611,,,,,,,,,,,,,,,
,57.11,66,57.34,0,57.57,1,56.67,23.5,56.89,630,,,,,,,,,,,,,,,
,58.23,66,58.45,0,58.67,1,57.80,23.4,58.01,622,,,,,,,,,,,,,,,
,59.34,66,59.58,0,59.81,1,58.89,23.4,59.11,618,,,,,,,,,,,,,,,
,60.45,66,60.67,0,60.88,1,60.02,23.3,60.24,613,,,,,,,,,,,,,,,
,61.51,66,61.73,0,61.95,1,61.08,23.2,61.30,627,,,,,,,,,,,,,,,
,62.61,66,62.84,0,63.09,1,62.17,23.2,62.39,632,,,,,,,,,,,,,,,
,63.81,66,64.01,0,64.23,1,63.34,23.2,63.58,625,,,,,,,,,,,,,,,
,64.89,66,65.10,0,65.35,1,64.45,23.1,64.67,618,,,,,,,,,,,,,,,
,66.10,66,66.35,0,66.61,1,65.60,23.0,65.85,628,,,,,,,,,,,,,,,
,67.28,66,67.50,0,67.72,1,66.84,23.0,67.07,620,,,,,,,,,,,,,,,
,68.38,66,68.60,0,68.85,1,67.93,22.9,68.15,624,,,,,,,,,,,,,,,
,69.50,66,69.72,0,69.94,1,69.07,22.9,69.28,621,,,,,,,,,,,,,,,
,70.59,66,70.82,0,71.02,1,70.16,22.8,70.37,622,,,,,,,,,,,,,,,
,71.67,66,71.89,0,72.11,1,71.23,22.8,71.45,615,,,,,,,,,,,,,,,
,72.84,66,73.07,0,73.28,1,72.35,22.7,72.60,622,,,,,,,,,,,,,,,
,73.94,66,74.16,0,74.38,1,73.50,22.7,73.72,635,,,,,,,,,,,,,,,
,75.09,66,75.32,0,75.53,1,74.60,22.6,74.85,619,,,,,,,,,,,,,,,
,76.19,66,76.41,0,76.62,1,75.75,22.6,75.97,635,,,,,,,,,,,,,,,
,77.28,66,77.50,0,77.72,1,76.84,22.5,77.07,623,,,,,,,,,,,,,,,
,78.37,66,78.59,0,78.82,1,77.93,22.5,78.16,606,,,,,,,,,,,,,,,
,79.47,66,79.69,0,79.91,1,79.03,22.4,79.25,611,,,,,,,,,,,,,,,
,80.60,66,80.81,0,81.01,1,80.13,22.3,80.35,641,,,,,,,,,,,,,,,
,81.67,66,81.89,0,82.11,1,81.23,22.3,81.45,618,,,,,,,,,,,,,,,
,82.79,66,83.01,0,83.23,1,82.35,22.2,82.57,620,,,,,,,,,,,,,,,
,83.89,66,84.11,0,84.35,1,83.45,22.2,83.67,631,,,,,,,,,,,,,,,
,85.04,66,85.26,0,85.48,1,84.61,22.1,84.83,613,,,,,,,,,,,,,,,
,86.14,66,86.36,0,86.59,1,85.70,22.1,85.92,615,,,,,,,,,,,,,,,
,87.24,66,87.45,0,87.66,1,86.80,22.0,87.02,607,,,,,,,,,,,,,,,
,88.34,66,88.54,0,88.76,1,87.87,22.0,88.11,614,,,,,,,,,,,,,,,
,89.42,66,89.64,0,89.87,1,88.98,21.9,89.20,621,,,,,,,,,,,,,,,
,90.62,66,90.87,0,91.12,1,90.12,21.9,90.37,625,,,,,,,,,,,,,,,
,91.79,66,92.01,0,92.23,1,91.36,21.8,91.58,607,,,,,,,,,,,,,,,
,92.90,66,93.12,0,93.36,1,92.46,21.8,92.69,614,,,,,,,,,,,,,,,
,94.02,66,94.24,0,94.46,1,93.58,21.7,93.80,609,,,,,,,,,,,,,,,
,95.12,66,95.37,0,95.61,1,94.69,21.7,94.91,616,,,,,,,,,,,,,,,
,96.26,66,96.48,0,96.71,1,95.82,21.6,96.04,619,,,,,,,,,,,,,,,
,97.38,66,97.60,0,97.81,1,96.94,21.6,97.16,619,,,,,,,,,,,,,,,
,98.47,66,98.69,0,98.91,1,98.03,21.5,98.25,614,,,,,,,,,,,,,,,
,99.62,66,99.86,0,100.09,1,99.13,21.5,99.37,617,,,,,,,,,,,,,,,
,100.74,66,100.94,0,101.15,1,100.30,21.4,100.52,621,,,,,,,,,,,,,,,
,101.81,66,102.03,0,102.25,1,101.37,21.5,101.59,1015,,,,,,,,,,,,,,,
,102.91,66,103.13,0,103.35,1,102.47,22.0,102.69,1010,,,,,,,,,,,,,,,
,104.00,66,104.22,0,104.44,1,103.56,22.5,103.78,985,,,,,,,,,,,,,,,
,105.10,66,105.32,0,105.52,1,104.66,23.1,104.88,1018,,,,,,,,,,,,,,,
,106.17,66,106.39,0,106.63,1,105.73,28.3,105.95,625,,,,,,,,,,,,,,,
,107.28,66,107.51,0,107.74,1,106.84,28.2,107.06,615,,,,,,,,,,,,,,,
,108.40,66,108.62,0,108.87,1,107.96,28.1,108.18,617,,,,,,,,,,,,,,,
,109.53,66,109.75,0,109.97,1,109.09,28.0,109.31,632,,,,,,,,,,,,,,,
,110.64,66,110.87,0,111.09,1,110.19,28.0,110.41,611,,,,,,,,,,,,,,,
,111.75,66,111.97,0,112.19,1,111.31,27.9,111.53,615,,,,,,,,,,,,,,,
,112.87,66,113.07,0,113.30,1,112.41,27.8,112.63,617,,,,,,,,,,,,,,,
